Customer ID,recency,frequency,monetary,segment,Country
12346,325,12,77556.46,cant_loose,United Kingdom
12347,2,8,5633.320000000001,champions,Iceland
12348,75,5,2019.4,loyal_customers,Finland
12349,18,4,4428.6900000000005,potential_loyalists,Italy
12350,310,1,334.40000000000003,hibernating,Norway
12351,375,1,300.93,hibernating,Unspecified
12352,36,10,2849.84,loyal_customers,Norway
12353,204,2,406.76,hibernating,Bahrain
12354,232,1,1079.3999999999999,hibernating,Spain
12355,214,2,947.6099999999999,hibernating,Bahrain
12356,22,6,6371.7300000000005,loyal_customers,Portugal
12357,33,3,18287.66,potential_loyalists,Switzerland
12358,1,5,3887.0700000000006,champions,Austria
12359,57,10,8873.390000000001,loyal_customers,Cyprus
12360,52,8,4252.89,loyal_customers,Austria
12361,287,4,511.24999999999994,at_risk,Belgium
12362,3,11,5356.23,champions,Belgium
12363,109,2,552.0,about_to_sleep,Unspecified
12364,7,4,1313.1000000000001,potential_loyalists,Belgium
12365,291,2,641.3799999999999,hibernating,Cyprus
12366,633,1,500.24,hibernating,Cyprus
12367,4,1,168.89999999999998,new_customers,Denmark
12368,628,1,917.6999999999999,hibernating,Cyprus
12369,413,3,1791.1499999999999,at_risk,Austria
12370,51,7,4316.56,loyal_customers,Austria
12371,44,5,4067.38,loyal_customers,Switzerland
12372,71,3,1298.0400000000002,need_attention,Denmark
12373,311,3,1127.65,at_risk,Austria
12374,25,4,2989.2200000000003,potential_loyalists,Austria
12375,10,2,457.5,potential_loyalists,Finland
12376,389,2,503.15000000000003,hibernating,Switzerland
12377,315,4,3426.3199999999997,at_risk,Switzerland
12378,129,2,5416.32,about_to_sleep,Switzerland
12379,81,4,1620.22,need_attention,Belgium
12380,21,11,9676.3,loyal_customers,Belgium
12381,4,5,1845.3100000000004,champions,Norway
12383,184,5,1850.5600000000002,loyal_customers,Belgium
12384,28,2,585.2700000000001,potential_loyalists,Switzerland
12385,379,1,1938.3999999999999,hibernating,Belgium
12386,337,2,660.8,hibernating,Australia
12387,415,1,143.94,hibernating,Australia
12388,15,8,3901.11,champions,Australia
12389,402,3,1433.33,at_risk,Australia
12390,79,1,549.84,about_to_sleep,Belgium
12391,21,6,2724.84,loyal_customers,Cyprus
12392,591,1,234.75000000000003,hibernating,Australia
12393,72,6,2399.45,loyal_customers,Australia
12394,63,2,1272.48,about_to_sleep,Belgium
12395,19,15,5067.27,champions,Belgium
12396,674,1,931.4300000000001,hibernating,RSA
12397,35,2,2409.9000000000005,potential_loyalists,Belgium
12398,45,1,1635.6599999999999,promising,Switzerland
12399,119,7,1962.3000000000004,loyal_customers,Belgium
12400,414,1,205.25,hibernating,Australia
12401,303,1,84.3,hibernating,Belgium
12402,323,6,1256.9000000000003,at_risk,Belgium
12403,49,2,1019.3600000000001,potential_loyalists,Denmark
12404,682,1,63.24,hibernating,Finland
12405,148,1,1710.3900000000003,about_to_sleep,Finland
12406,22,5,6390.36,loyal_customers,Denmark
12407,49,5,1708.1199999999997,loyal_customers,Belgium
12408,32,8,4340.7699999999995,loyal_customers,Belgium
12409,78,7,23419.289999999997,loyal_customers,Switzerland
12410,308,3,1013.71,at_risk,Switzerland
12411,409,1,346.9,hibernating,Australia
12412,74,6,2596.9300000000003,loyal_customers,Denmark
12413,66,4,999.45,need_attention,Spain
12414,217,6,952.4100000000001,at_risk,Austria
12415,24,28,144458.37,loyal_customers,Australia
12416,656,1,202.56,hibernating,Australia
12417,3,20,6797.41,champions,Belgium
12418,112,4,2021.2,need_attention,Switzerland
12419,385,2,503.01,hibernating,Spain
12420,63,1,600.3900000000001,about_to_sleep,Cyprus
12421,15,6,1098.6000000000001,champions,Spain
12422,95,17,5231.800000000001,loyal_customers,Australia
12423,0,10,2622.39,champions,Denmark
12424,162,4,3340.0299999999997,need_attention,Australia
12425,78,2,1741.4099999999999,about_to_sleep,Portugal
12426,194,2,1345.21,hibernating,Germany
12427,21,3,1129.3000000000002,potential_loyalists,Germany
12428,25,9,7956.46,loyal_customers,Finland
12429,9,8,7485.91,champions,Denmark
12430,43,1,256.4,promising,Norway
12431,35,27,10790.47,loyal_customers,Belgium
12432,42,5,5059.319999999999,loyal_customers,Norway
12433,0,10,20581.260000000002,champions,Norway
12434,84,3,1103.4300000000003,need_attention,Australia
12435,79,6,13925.93,loyal_customers,Denmark
12436,99,1,509.01000000000005,about_to_sleep,Norway
12437,1,39,12683.400000000001,champions,France
12438,14,2,2906.8500000000004,potential_loyalists,Norway
12439,682,2,1142.88,hibernating,Cyprus
12440,462,2,859.1999999999999,hibernating,Austria
12441,366,1,347.1,hibernating,France
12442,3,1,172.06,new_customers,Spain
12443,732,1,485.31,hibernating,Norway
12444,21,5,5005.46,loyal_customers,Norway
12445,22,2,434.98,potential_loyalists,Spain
12446,57,1,1002.3100000000001,promising,RSA
